"Facility ID","Measure ID","Value","Footnote","Start Date","End Date"
050417,MSPB-1,0.919995,,01/01/2024,12/31/2024
050424,MSPB-1,0.918249,,01/01/2024,12/31/2024
050425,MSPB-1,0.975987,,01/01/2024,12/31/2024
050426,MSPB-1,1.234058,,01/01/2024,12/31/2024
050438,MSPB-1,1.029770,,01/01/2024,12/31/2024
050441,MSPB-1,0.984461,,01/01/2024,12/31/2024
050444,MSPB-1,0.946451,,01/01/2024,12/31/2024
050454,MSPB-1,0.961999,,01/01/2024,12/31/2024
050455,MSPB-1,1.088488,,01/01/2024,12/31/2024
050457,MSPB-1,0.992929,,01/01/2024,12/31/2024
050464,MSPB-1,1.030687,,01/01/2024,12/31/2024
050468,MSPB-1,1.097088,,01/01/2024,12/31/2024
050471,MSPB-1,1.178625,,01/01/2024,12/31/2024
050481,MSPB-1,1.088221,,01/01/2024,12/31/2024
050485,MSPB-1,1.111783,,01/01/2024,12/31/2024
050488,MSPB-1,1.071654,,01/01/2024,12/31/2024
050492,MSPB-1,1.045039,,01/01/2024,12/31/2024
050496,MSPB-1,0.974018,,01/01/2024,12/31/2024
050498,MSPB-1,0.917002,,01/01/2024,12/31/2024
050503,MSPB-1,0.939340,,01/01/2024,12/31/2024
050506,MSPB-1,0.981807,,01/01/2024,12/31/2024
050510,MSPB-1,0.900310,,01/01/2024,12/31/2024
050512,MSPB-1,0.860123,,01/01/2024,12/31/2024
050515,MSPB-1,0.865892,,01/01/2024,12/31/2024
050516,MSPB-1,0.988069,,01/01/2024,12/31/2024
050517,MSPB-1,1.202366,,01/01/2024,12/31/2024
050523,MSPB-1,0.983756,,01/01/2024,12/31/2024
050526,MSPB-1,1.246405,,01/01/2024,12/31/2024
050528,MSPB-1,0.997097,,01/01/2024,12/31/2024
050534,MSPB-1,0.968616,,01/01/2024,12/31/2024
050537,MSPB-1,0.895519,,01/01/2024,12/31/2024
050541,MSPB-1,0.911258,,01/01/2024,12/31/2024
050543,MSPB-1,1.126391,,01/01/2024,12/31/2024
050546,MSPB-1,N/A,1,01/01/2024,12/31/2024
050549,MSPB-1,1.017307,,01/01/2024,12/31/2024
050551,MSPB-1,1.027236,,01/01/2024,12/31/2024
050557,MSPB-1,0.959113,,01/01/2024,12/31/2024
050561,MSPB-1,1.019986,,01/01/2024,12/31/2024
050567,MSPB-1,1.000811,,01/01/2024,12/31/2024
050570,MSPB-1,1.111787,,01/01/2024,12/31/2024
050573,MSPB-1,0.998756,,01/01/2024,12/31/2024
050580,MSPB-1,1.180198,,01/01/2024,12/31/2024
050581,MSPB-1,1.163832,,01/01/2024,12/31/2024
050586,MSPB-1,1.027494,,01/01/2024,12/31/2024
050588,MSPB-1,1.140566,,01/01/2024,12/31/2024
050589,MSPB-1,1.100734,,01/01/2024,12/31/2024
050590,MSPB-1,0.944160,,01/01/2024,12/31/2024
050597,MSPB-1,1.156162,,01/01/2024,12/31/2024
050599,MSPB-1,0.999499,,01/01/2024,12/31/2024
050603,MSPB-1,1.057858,,01/01/2024,12/31/2024
050604,MSPB-1,0.912388,,01/01/2024,12/31/2024
050608,MSPB-1,0.959359,,01/01/2024,12/31/2024
050609,MSPB-1,0.842965,,01/01/2024,12/31/2024
050624,MSPB-1,1.019337,,01/01/2024,12/31/2024
050625,MSPB-1,1.043478,,01/01/2024,12/31/2024
050633,MSPB-1,0.961128,,01/01/2024,12/31/2024
050636,MSPB-1,1.061574,,01/01/2024,12/31/2024
050641,MSPB-1,1.192227,,01/01/2024,12/31/2024
050663,MSPB-1,1.378816,,01/01/2024,12/31/2024
050668,MSPB-1,0.574733,,01/01/2024,12/31/2024
050674,MSPB-1,0.969082,,01/01/2024,12/31/2024
050677,MSPB-1,0.986048,,01/01/2024,12/31/2024
050678,MSPB-1,1.047826,,01/01/2024,12/31/2024
050684,MSPB-1,1.129194,,01/01/2024,12/31/2024
050686,MSPB-1,0.971164,,01/01/2024,12/31/2024
050689,MSPB-1,0.965784,,01/01/2024,12/31/2024
050690,MSPB-1,0.880344,,01/01/2024,12/31/2024
050696,MSPB-1,0.970383,,01/01/2024,12/31/2024
050697,MSPB-1,N/A,1,01/01/2024,12/31/2024
050701,MSPB-1,1.017830,,01/01/2024,12/31/2024
050704,MSPB-1,1.309335,,01/01/2024,12/31/2024
050708,MSPB-1,0.983906,,01/01/2024,12/31/2024
050709,MSPB-1,0.926733,,01/01/2024,12/31/2024
050710,MSPB-1,0.842127,,01/01/2024,12/31/2024
050714,MSPB-1,0.855216,,01/01/2024,12/31/2024
050717,MSPB-1,1.033174,,01/01/2024,12/31/2024
